name,scientificName,family,category,lighting,soil,fertilizing,watering
Aloe Vera,Aloe vera,Asphodelaceae,cacti,Helles bis mittleres Licht. Direkte Sonne fördert das Wachstum.,Gut drainierende Kakteenerde. Kein schwerer Lehm.,Von Frühling bis Sommer alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 14 Tage. Wenig Wasser genügt.
Einblatt,Spathiphyllum wallisii,Araceae,indoor,Wenig bis mittleres Licht. Keine direkte Sonne.,Lockere humusreiche Blumenerde. Gleichmäßig feucht halten.,Alle 2 Wochen düngen. Im Winter nicht düngen.,Alle 10 Tage. Erde leicht feucht halten.
Gummibaum,Ficus elastica,Moraceae,outdoor,Helles bis mittleres Licht. Keine pralle Sonne.,Gut durchlässige Blumenerde. Etwas Sand für Drainage.,Alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 12 Tage. Mäßig gießen.
Glücksfeder,Zamioculcas zamiifolia,Asparagaceae,indoor,Mittellicht. Verträgt auch Schatten.,Lockere durchlässige Blumenerde. Keine Staunässe.,Alle 8 Wochen schwach düngen. Im Winter nicht düngen.,Alle 21 Tage. Wenig Wasser genügt.
Ficus Benjamini,Ficus benjamina,Moraceae,indoor,Helles Licht. Verträgt Halbschatten.,Gut durchlässige Blumenerde. Etwas Sand beigemischt.,Alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 12 Tage. Mäßig gießen.
Orchidee,Phalaenopsis,Orchidaceae,indoor,Helles Licht. Keine direkte Sonne.,Spezielle Orchideenerde mit Rinde.,Alle 2 Wochen schwach düngen. Im Winter selten düngen.,Alle 10 Tage. Mäßig wässern.
Kaktus,Cactaceae,Cactaceae,cacti,Viel Licht. Direkte Sonne erwünscht.,Mineralische Kakteenerde. Sehr gute Drainage.,Alle 6 Wochen wenig düngen. Nur im Sommer.,Alle 21 Tage. Sehr sparsam gießen.
Sansevieria,Dracaena trifasciata,Asparagaceae,indoor,Helles bis mittleres Licht. Auch Halbschatten möglich.,Durchlässige Kakteenerde. Kein dichter Boden.,Alle 6 Wochen leicht düngen. Im Winter nicht düngen.,Alle 30 Tage. Wenig Wasser.
Bogenhanf,Dracaena trifasciata,Asparagaceae,indoor,Mittellicht. Toleriert Schatten.,Kakteenerde mit Sandanteil. Gute Drainage wichtig.,Alle 6 Wochen leicht düngen. Im Winter nicht düngen.,Alle 30 Tage. Wenig Wasser.
Efeutute,Epipremnum aureum,Araceae,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere Blumenerde mit Drainage.,Alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 10 Tage. Gleichmäßig feucht halten.
Zyperngras,Cyperus,Cyperaceae,outdoor,Helles Licht. Keine direkte Sonne.,Humusreiche Erde. Gleichmäßig feucht halten.,Alle 4 Wochen düngen. Im Winter selten.,Alle 7 Tage. Erde stets feucht halten.
